,phoneme,accuracy,accuracy_babble_0,accuracy_babble_10,accuracy_babble_20,accuracy_pink_10,accuracy_pink_20,accuracy_car_0,accuracy_car_10,accuracy_car_20,accuracy_ergodic,accuracy_babble_0_ergodic,accuracy_babble_10_ergodic,accuracy_babble_20_ergodic,accuracy_pink_10_ergodic,accuracy_pink_20_ergodic,accuracy_car_0_ergodic,accuracy_car_10_ergodic,accuracy_car_20_ergodic,sd,phoneme,phoneme class(1),phoneme class(2),timit class,height,backness,place,manner,type
15,aa,53.1,49.5,54.2,52.9,52.5,45.6,49.7,49.8,53.6,51.1,48.3,55.9,53.6,48.2,53.2,46.1,51.2,49.2,2.868131181,aa,VS,Vowel,Vowel,open,back,,,consonants
5,ey,55.6,47,53.4,54.1,57.8,57.7,57.2,51.4,57.2,56.2,54.4,56.4,53.7,54,55.6,51.9,61.8,55.2,3.145304624,ey,VS,Dipthongs,Vowel,,,,,vowel
2,r,23,15.3,21.1,23.4,15.3,18,20.1,21.7,23,22.4,30.3,19.3,24.1,25.4,21,23.4,21.8,23.9,3.535446094,r,VS,Semi Vowel,SemiVowel and Glide,,,alveolar,approximant,consonants
11,ay,59.6,50.3,57.1,61.3,58.7,61.1,59.5,54.8,54.3,55.5,64.4,53.5,52.2,58.2,63.4,59.3,54.7,55.9,3.84508854,ay,VS,Dipthongs,Vowel,,,,,consonants
36,oy,78.7,79.6,79.3,80.2,80.8,79.6,77.4,78.7,79.7,86.1,74,82.1,69.7,79.9,84.5,73.1,80.6,81.8,3.87827871,oy,VS,Dipthongs,Vowel,,,,,consonants
14,l,40.5,33.6,38.6,45.5,31.2,43.2,44,40,41.7,45.9,47.8,42.9,41.5,38.3,32.3,49.7,39.2,38.8,5.044770152,l,VS,Semi Vowel,SemiVowel and Glide,,,alveolar,lateral approximant,consonants
13,ih,34.3,15.7,27.2,13.4,32.8,22.4,23.6,22.5,29.9,23.1,24.6,20.9,26.3,24.7,27.9,12.8,15.5,22.4,6.130060934,ih,VS,Vowel,Vowel,near-close,front-central,,,consonants
8,d,44.5,36.9,46.9,50.9,32.9,49.3,52,49.4,54,41.9,34.6,45.4,48.6,39.4,43,54.2,42.2,46.5,6.320575385,d,ST,Plosive,Stop,,,alveolar/post-alveolar/dental,stop,consonants
3,iy,52,43.4,50.3,50.7,44.9,57.7,47.7,61.5,62.9,47.1,40.3,53.2,41.9,49.7,53.1,49,43,52.3,6.32782268,iy,VS,Vowel,Vowel,close,front,,,consonants
17,er,65.4,62.9,65.2,62.4,53.3,61,67.9,68.1,62.4,76.6,56.7,69.5,73,57.5,67.7,76,71.3,69.2,6.436154517,er,VS,Semi Vowel,Vowel,,,,,vowel
35,th,48.9,35.2,35.8,50.3,34.3,35.8,44.1,43.7,46.7,49.1,47.1,34.6,44.5,53.3,43.6,40.4,44.4,54.5,6.460490784,th,WF,Fricative,Fricative,,,linguolabial,fricative,consonants
12,z,58.8,51.7,59.2,60,46,55.6,59.5,60.6,58.8,63.1,54.9,64.7,60.6,37.5,53.7,53.9,57.3,60.8,6.484937298,z,SF,Fricative,Fricative,,,alveolar,fricative,vowel
21,s,70.9,49,55.8,60.7,63.1,69,64.9,68.6,71.9,64.2,52,52.6,66.9,67.4,67.6,67.2,66.1,64.8,6.766461409,s,SF,Fricative,Fricative,,,alveolar,fricative,consonants
29,hh,47.6,30.3,40.1,44,42.7,44,48.3,47,50,49.1,29.5,34.7,37.7,28.9,37.3,41.9,47.2,43.9,6.877518552,hh,WF,Fricative,SemiVowel and Glide,,,glottal,fricative,consonants
32,ow,48.6,49,54.5,47.8,56.9,59.4,49.3,51.1,40.7,57.9,44.8,57.1,43.9,32.6,57.8,49.9,57.9,52.4,7.08596145,ow,VS,Dipthongs,Vowel,,,,,vowel
27,ch,71.8,60.4,59.8,66.3,55.9,73.8,69.1,72,69.4,73.9,61.9,56.4,64.8,48.3,61.8,59.7,70.6,71.1,7.234151034,ch,SF,Plosive,Affricates,,,post-alveolar,affricate,consonants
19,aw,56.9,49,56.2,35.8,59.3,66.2,48.6,64.2,63.4,59.5,58.2,45.4,60.8,58.7,56.9,56.1,62.4,61.5,7.571405185,aw,VS,Dipthongs,Vowel,,,,,vowel
18,jh,60.4,35.5,47.7,46.3,33.1,41.2,37.8,62.3,56.5,48,49,52.6,49.4,52.6,49.4,49.4,50.6,46.1,7.748794973,jh,SF,Plosive,Affricates,,,post-alveolar,affricate,consonants
