,phoneme,accuracy,accuracy_babble_0,accuracy_babble_10,accuracy_babble_20,accuracy_pink_10,accuracy_pink_20,accuracy_car_0,accuracy_car_10,accuracy_car_20
0,ah,52.2,22.0,46.1,66.8,39.1,54.7,61.5,59.2,61.5
1,b,46.8,34.9,42.3,36.3,34.4,16.6,43.4,57.7,54.2
2,r,23.0,15.3,21.1,23.4,15.3,18.0,20.1,21.7,23.0
3,iy,52.0,43.4,50.3,50.7,44.9,57.7,47.7,61.5,62.9
4,v,57.7,22.1,45.0,44.5,36.8,36.7,45.5,53.9,60.1
5,ey,55.6,47.0,53.4,54.1,57.8,57.7,57.2,51.4,57.2
6,t,14.7,6.7,1.5,17.2,10.3,12.2,11.4,18.7,16.0
7,ae,51.8,24.7,14.2,31.1,41.2,46.2,20.1,47.3,54.0
8,d,44.5,36.9,46.9,50.9,32.9,49.3,52.0,49.4,54.0
9,m,32.7,52.5,56.9,58.5,53.7,53.0,55.4,41.6,50.5
10,n,45.6,32.4,17.3,35.5,27.0,37.6,43.8,44.9,35.8
11,ay,59.6,50.3,57.1,61.3,58.7,61.1,59.5,54.8,54.3
12,z,58.8,51.7,59.2,60.0,46.0,55.6,59.5,60.6,58.8
13,ih,34.3,15.7,27.2,13.4,32.8,22.4,23.6,22.5,29.9
14,l,40.5,33.6,38.6,45.5,31.2,43.2,44.0,40.0,41.7
15,aa,53.1,49.5,54.2,52.9,52.5,45.6,49.7,49.8,53.6
16,sh,74.2,49.9,58.8,63.9,57.3,63.8,70.4,78.4,80.4
17,er,65.4,62.9,65.2,62.4,53.3,61.0,67.9,68.1,62.4
18,jh,60.4,35.5,47.7,46.3,33.1,41.2,37.8,62.3,56.5
19,aw,56.9,49.0,56.2,35.8,59.3,66.2,48.6,64.2,63.4
20,p,69.9,25.2,44.7,48.4,50.1,64.5,64.2,60.9,68.3
21,s,70.9,49.0,55.8,60.7,63.1,69.0,64.9,68.6,71.9
22,uw,35.7,50.0,39.8,34.3,49.7,44.9,31.4,47.9,40.1
23,k,53.9,22.4,28.3,52.3,47.6,52.8,51.1,45.8,54.5
24,eh,10.1,39.2,36.9,25.8,29.1,17.8,27.8,18.3,5.6
25,ng,77.9,50.4,62.4,64.1,55.4,62.3,66.8,71.5,80.9
26,y,55.8,45.2,59.9,52.1,59.1,53.3,72.1,57.4,54.4
27,ch,71.8,60.4,59.8,66.3,55.9,73.8,69.1,72.0,69.4
28,w,86.6,62.8,81.2,85.7,68.2,83.1,87.3,88.2,86.6
29,hh,47.6,30.3,40.1,44.0,42.7,44.0,48.3,47.0,50.0
30,uh,37.7,22.9,31.2,29.2,27.6,24.3,25.7,23.7,18.8
31,f,75.8,47.2,60.6,58.7,49.7,61.6,70.5,72.9,71.6
32,ow,48.6,49.0,54.5,47.8,56.9,59.4,49.3,51.1,40.7
33,g,65.9,18.2,36.7,49.4,33.5,55.1,57.2,56.8,59.7
34,dh,50.8,35.0,35.4,43.7,29.0,33.2,31.3,26.4,16.6
35,th,48.9,35.2,35.8,50.3,34.3,35.8,44.1,43.7,46.7
36,oy,78.7,79.6,79.3,80.2,80.8,79.6,77.4,78.7,79.7
