,phoneme,accuracy,accuracy_babble_0_ergodic,accuracy_babble_10_ergodic,accuracy_babble_20_ergodic,accuracy_pink_10_ergodic,accuracy_pink_20_ergodic,accuracy_car_0_ergodic,accuracy_car_10_ergodic,accuracy_car_20_ergodic
0,ah,33.4,23.9,22.5,38.6,34.9,28.6,43.3,40.0,38.9
1,b,51.6,33.3,56.9,64.1,42.6,54.5,67.4,58.4,51.8
2,r,22.4,30.3,19.3,24.1,25.4,21.0,23.4,21.8,23.9
3,iy,47.1,40.3,53.2,41.9,49.7,53.1,49.0,43.0,52.3
4,v,56.7,24.7,37.5,44.7,31.9,43.8,47.7,56.1,56.3
5,ey,56.2,54.4,56.4,53.7,54.0,55.6,51.9,61.8,55.2
6,t,23.5,21.9,25.1,38.3,12.9,46.1,23.2,8.8,5.5
7,ae,51.1,52.5,51.3,56.0,48.5,51.5,49.7,54.1,56.1
8,d,41.9,34.6,45.4,48.6,39.4,43.0,54.2,42.2,46.5
9,m,57.8,36.0,47.0,50.3,46.1,44.1,55.4,57.0,59.6
10,n,22.6,27.7,21.0,38.5,23.9,40.1,33.9,25.1,23.0
11,ay,55.5,64.4,53.5,52.2,58.2,63.4,59.3,54.7,55.9
12,z,63.1,54.9,64.7,60.6,37.5,53.7,53.9,57.3,60.8
13,ih,23.1,24.6,20.9,26.3,24.7,27.9,12.8,15.5,22.4
14,l,45.9,47.8,42.9,41.5,38.3,32.3,49.7,39.2,38.8
15,aa,51.1,48.3,55.9,53.6,48.2,53.2,46.1,51.2,49.2
16,sh,76.8,63.2,65.3,70.3,52.7,67.5,72.5,79.3,80.5
17,er,76.6,56.7,69.5,73.0,57.5,67.7,76.0,71.3,69.2
18,jh,48.0,49.0,52.6,49.4,52.6,49.4,49.4,50.6,46.1
19,aw,59.5,58.2,45.4,60.8,58.7,56.9,56.1,62.4,61.5
20,p,59.5,42.5,55.1,61.3,36.6,58.7,35.6,60.9,67.3
21,s,64.2,52.0,52.6,66.9,67.4,67.6,67.2,66.1,64.8
22,uw,46.1,47.4,46.7,59.7,54.0,51.3,53.5,34.3,38.8
23,k,56.5,24.3,25.0,47.4,29.0,33.9,37.9,42.9,53.7
24,eh,13.0,26.8,27.2,17.0,31.6,22.3,22.4,12.3,7.9
25,ng,75.3,41.0,52.2,60.4,45.7,62.2,68.2,71.4,71.5
26,y,65.9,49.3,58.4,60.9,39.8,60.6,64.3,68.8,69.5
27,ch,73.9,61.9,56.4,64.8,48.3,61.8,59.7,70.6,71.1
28,w,74.7,55.1,75.7,75.5,72.3,75.0,81.5,77.3,77.4
29,hh,49.1,29.5,34.7,37.7,28.9,37.3,41.9,47.2,43.9
30,uh,44.9,22.0,51.3,6.8,50.3,17.9,42.9,31.2,22.7
31,f,79.6,50.8,70.6,75.2,43.6,56.1,76.5,77.5,72.6
32,ow,57.9,44.8,57.1,43.9,32.6,57.8,49.9,57.9,52.4
33,g,61.7,26.9,25.4,35.7,19.2,33.5,34.6,53.0,52.7
34,dh,39.1,13.1,36.0,18.1,40.3,36.8,17.0,48.8,49.9
35,th,49.1,47.1,34.6,44.5,53.3,43.6,40.4,44.4,54.5
36,oy,86.1,74.0,82.1,69.7,79.9,84.5,73.1,80.6,81.8
