,Unnamed: 0,originalfile,renamedfile,samplenumber,prompt,prompttexts
0,0,DR2/MRJM0/SX328.WAV,sample1.WAV,sample1,SX328,GREGORY AND TOM CHOSE TO WATCH CARTOONS IN THE AFTERNOON
1,1,DR2/MRJM0/SI1228.WAV,sample2.WAV,sample2,SI1228,TRAGEDY PRESUMES SUCH A CONFIGURATION
2,2,DR2/MRJM0/SA2.WAV,sample3.WAV,sample3,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
3,3,DR2/MRJM0/SA1.WAV,sample4.WAV,sample4,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
4,4,DR2/MRJM0/SX148.WAV,sample5.WAV,sample5,SX148,MOST PRECINCTS HAD A THIRD OF THE VOTES COUNTED
5,5,DR2/MRJM0/SX238.WAV,sample6.WAV,sample6,SX238,A DOCTOR WAS IN THE AMBULANCE WITH THE PATIENT
6,6,DR2/MRJM0/SX58.WAV,sample7.WAV,sample7,SX58,WE EXPERIENCE DISTRESS AND FRUSTRATION OBTAINING OUR DEGREES
7,7,DR2/MRJM0/SX418.WAV,sample8.WAV,sample8,SX418,IRIS THINKS THIS ZOO HAS ELEVEN SPANISH ZEBRAS
8,8,DR2/MRJM0/SI1858.WAV,sample9.WAV,sample9,SI1858,SHE DRANK GREEDILY AND MURMURED THANK YOU AS HE LOWERED HER HEAD
9,9,DR2/MRJM0/SI1095.WAV,sample10.WAV,sample10,SI1095,THEY FIND DEEP PESSIMISM IN THEM
10,10,DR2/MMAG0/SX406.WAV,sample11.WAV,sample11,SX406,THERE WAS A GIGANTIC WASP NEXT TO IRVING'S BIG TOP HAT
11,11,DR2/MMAG0/SI1126.WAV,sample12.WAV,sample12,SI1126,AND LET ME ADD UTOPIANISM ALSO
12,12,DR2/MMAG0/SI1756.WAV,sample13.WAV,sample13,SI1756,MEANWHILE FISHERMEN TOOK ADVANTAGE OF THEM TO PULL UP WHOPPERS
13,13,DR2/MMAG0/SX226.WAV,sample14.WAV,sample14,SX226,STEPH COULD BARELY HANDLE THE PSYCHOLOGICAL TRAUMA
14,14,DR2/MMAG0/SX46.WAV,sample15.WAV,sample15,SX46,THAT PICKPOCKET WAS CAUGHT RED-HANDED
15,15,DR2/MMAG0/SA2.WAV,sample16.WAV,sample16,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
16,16,DR2/MMAG0/SX136.WAV,sample17.WAV,sample17,SX136,SCIENTIFIC PROGRESS COMES FROM THE DEVELOPMENT OF NEW TECHNIQUES
17,17,DR2/MMAG0/SA1.WAV,sample18.WAV,sample18,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
