,originalfile,renamedfile,samplenumber,prompt
0,DR2/FRAM1/SX190.WAV,sample1.WAV,sample1,SX190
1,DR2/FRAM1/SI1360.WAV,sample2.WAV,sample2,SI1360
2,DR2/FRAM1/SX100.WAV,sample3.WAV,sample3,SX100
3,DR2/FRAM1/SX280.WAV,sample4.WAV,sample4,SX280
4,DR2/FRAM1/SA2.WAV,sample5.WAV,sample5,SA2
5,DR2/FRAM1/SI522.WAV,sample6.WAV,sample6,SI522
6,DR2/FRAM1/SA1.WAV,sample7.WAV,sample7,SA1
7,DR2/FRAM1/SX10.WAV,sample8.WAV,sample8,SX10
8,DR2/FRAM1/SX370.WAV,sample9.WAV,sample9,SX370
9,DR2/FRAM1/SI730.WAV,sample10.WAV,sample10,SI730
10,DR2/MBJK0/SI1175.WAV,sample11.WAV,sample11,SI1175
11,DR2/MBJK0/SX275.WAV,sample12.WAV,sample12,SX275
12,DR2/MBJK0/SX185.WAV,sample13.WAV,sample13,SX185
13,DR2/MBJK0/SX5.WAV,sample14.WAV,sample14,SX5
14,DR2/MBJK0/SI2128.WAV,sample15.WAV,sample15,SI2128
15,DR2/MBJK0/SA2.WAV,sample16.WAV,sample16,SA2
16,DR2/MBJK0/SI545.WAV,sample17.WAV,sample17,SI545
17,DR2/MBJK0/SA1.WAV,sample18.WAV,sample18,SA1
18,DR2/MBJK0/SX95.WAV,sample19.WAV,sample19,SX95
19,DR2/MBJK0/SX365.WAV,sample20.WAV,sample20,SX365
20,DR2/MRCZ0/SX191.WAV,sample21.WAV,sample21,SX191
21,DR2/MRCZ0/SI2171.WAV,sample22.WAV,sample22,SI2171
22,DR2/MRCZ0/SI911.WAV,sample23.WAV,sample23,SI911
23,DR2/MRCZ0/SX281.WAV,sample24.WAV,sample24,SX281
24,DR2/MRCZ0/SA2.WAV,sample25.WAV,sample25,SA2
25,DR2/MRCZ0/SA1.WAV,sample26.WAV,sample26,SA1
26,DR2/MRCZ0/SX101.WAV,sample27.WAV,sample27,SX101
27,DR2/MRCZ0/SI1541.WAV,sample28.WAV,sample28,SI1541
28,DR2/MRCZ0/SX11.WAV,sample29.WAV,sample29,SX11
29,DR2/MRCZ0/SX371.WAV,sample30.WAV,sample30,SX371
30,DR2/FJAS0/SI1400.WAV,sample31.WAV,sample31,SI1400
31,DR2/FJAS0/SX230.WAV,sample32.WAV,sample32,SX230
32,DR2/FJAS0/SX50.WAV,sample33.WAV,sample33,SX50
33,DR2/FJAS0/SX320.WAV,sample34.WAV,sample34,SX320
34,DR2/FJAS0/SI770.WAV,sample35.WAV,sample35,SI770
35,DR2/FJAS0/SA2.WAV,sample36.WAV,sample36,SA2
36,DR2/FJAS0/SA1.WAV,sample37.WAV,sample37,SA1
37,DR2/FJAS0/SX410.WAV,sample38.WAV,sample38,SX410
38,DR2/FJAS0/SX140.WAV,sample39.WAV,sample39,SX140
39,DR2/FJAS0/SI2030.WAV,sample40.WAV,sample40,SI2030
40,DR2/MWEW0/SX191.WAV,sample41.WAV,sample41,SX191
41,DR2/MWEW0/SI1991.WAV,sample42.WAV,sample42,SI1991
42,DR2/MWEW0/SI1361.WAV,sample43.WAV,sample43,SI1361
43,DR2/MWEW0/SI731.WAV,sample44.WAV,sample44,SI731
44,DR2/MWEW0/SX281.WAV,sample45.WAV,sample45,SX281
45,DR2/MWEW0/SA2.WAV,sample46.WAV,sample46,SA2
46,DR2/MWEW0/SA1.WAV,sample47.WAV,sample47,SA1
47,DR2/MWEW0/SX101.WAV,sample48.WAV,sample48,SX101
48,DR2/MWEW0/SX11.WAV,sample49.WAV,sample49,SX11
49,DR2/MWEW0/SX371.WAV,sample50.WAV,sample50,SX371
50,DR2/FPAS0/SI2204.WAV,sample51.WAV,sample51,SI2204
51,DR2/FPAS0/SX404.WAV,sample52.WAV,sample52,SX404
52,DR2/FPAS0/SI944.WAV,sample53.WAV,sample53,SI944
53,DR2/FPAS0/SX314.WAV,sample54.WAV,sample54,SX314
54,DR2/FPAS0/SA2.WAV,sample55.WAV,sample55,SA2
55,DR2/FPAS0/SI1272.WAV,sample56.WAV,sample56,SI1272
56,DR2/FPAS0/SX44.WAV,sample57.WAV,sample57,SX44
57,DR2/FPAS0/SA1.WAV,sample58.WAV,sample58,SA1
58,DR2/FPAS0/SX224.WAV,sample59.WAV,sample59,SX224
59,DR2/FPAS0/SX134.WAV,sample60.WAV,sample60,SX134
60,DR2/MTMR0/SX313.WAV,sample61.WAV,sample61,SX313
61,DR2/MTMR0/SX223.WAV,sample62.WAV,sample62,SX223
62,DR2/MTMR0/SA2.WAV,sample63.WAV,sample63,SA2
63,DR2/MTMR0/SA1.WAV,sample64.WAV,sample64,SA1
64,DR2/MTMR0/SX43.WAV,sample65.WAV,sample65,SX43
65,DR2/MTMR0/SI673.WAV,sample66.WAV,sample66,SI673
66,DR2/MTMR0/SX403.WAV,sample67.WAV,sample67,SX403
67,DR2/MTMR0/SX133.WAV,sample68.WAV,sample68,SX133
68,DR2/MTMR0/SI1933.WAV,sample69.WAV,sample69,SI1933
69,DR2/MTMR0/SI1303.WAV,sample70.WAV,sample70,SI1303
70,DR2/MTAS1/SX28.WAV,sample71.WAV,sample71,SX28
71,DR2/MTAS1/SX298.WAV,sample72.WAV,sample72,SX298
72,DR2/MTAS1/SI1473.WAV,sample73.WAV,sample73,SI1473
73,DR2/MTAS1/SI2098.WAV,sample74.WAV,sample74,SI2098
74,DR2/MTAS1/SA2.WAV,sample75.WAV,sample75,SA2
75,DR2/MTAS1/SA1.WAV,sample76.WAV,sample76,SA1
76,DR2/MTAS1/SX388.WAV,sample77.WAV,sample77,SX388
77,DR2/MTAS1/SI838.WAV,sample78.WAV,sample78,SI838
78,DR2/MTAS1/SX208.WAV,sample79.WAV,sample79,SX208
79,DR2/MTAS1/SX118.WAV,sample80.WAV,sample80,SX118
80,DR2/MPGL0/SX379.WAV,sample81.WAV,sample81,SX379
81,DR2/MPGL0/SX199.WAV,sample82.WAV,sample82,SX199
82,DR2/MPGL0/SI1099.WAV,sample83.WAV,sample83,SI1099
83,DR2/MPGL0/SI469.WAV,sample84.WAV,sample84,SI469
84,DR2/MPGL0/SX289.WAV,sample85.WAV,sample85,SX289
85,DR2/MPGL0/SI1729.WAV,sample86.WAV,sample86,SI1729
86,DR2/MPGL0/SA2.WAV,sample87.WAV,sample87,SA2
87,DR2/MPGL0/SA1.WAV,sample88.WAV,sample88,SA1
88,DR2/MPGL0/SX109.WAV,sample89.WAV,sample89,SX109
89,DR2/MPGL0/SX19.WAV,sample90.WAV,sample90,SX19
90,DR2/FDRD1/SI2149.WAV,sample91.WAV,sample91,SI2149
91,DR2/FDRD1/SX374.WAV,sample92.WAV,sample92,SX374
92,DR2/FDRD1/SX104.WAV,sample93.WAV,sample93,SX104
93,DR2/FDRD1/SX14.WAV,sample94.WAV,sample94,SX14
94,DR2/FDRD1/SI1566.WAV,sample95.WAV,sample95,SI1566
95,DR2/FDRD1/SA2.WAV,sample96.WAV,sample96,SA2
96,DR2/FDRD1/SA1.WAV,sample97.WAV,sample97,SA1
97,DR2/FDRD1/SI1544.WAV,sample98.WAV,sample98,SI1544
98,DR2/FDRD1/SX194.WAV,sample99.WAV,sample99,SX194
99,DR2/FDRD1/SX284.WAV,sample100.WAV,sample100,SX284
100,DR2/MMDB1/SX275.WAV,sample101.WAV,sample101,SX275
101,DR2/MMDB1/SI995.WAV,sample102.WAV,sample102,SI995
102,DR2/MMDB1/SX185.WAV,sample103.WAV,sample103,SX185
103,DR2/MMDB1/SX5.WAV,sample104.WAV,sample104,SX5
104,DR2/MMDB1/SI1625.WAV,sample105.WAV,sample105,SI1625
105,DR2/MMDB1/SA2.WAV,sample106.WAV,sample106,SA2
