,Unnamed: 0,originalfile,renamedfile,samplenumber,prompt,prompttexts
0,0,DR2/FRAM1/SX190.WAV,sample1.WAV,sample1,SX190,SERVE THE COLESLAW AFTER I ADD THE OIL
1,1,DR2/FRAM1/SI1360.WAV,sample2.WAV,sample2,SI1360,IT PROVIDES A FRAME FOR THE SAMPLING CENSUS
2,2,DR2/FRAM1/SX100.WAV,sample3.WAV,sample3,SX100,PROJECT DEVELOPMENT WAS PROCEEDING TOO SLOWLY
3,3,DR2/FRAM1/SX280.WAV,sample4.WAV,sample4,SX280,THE OASIS WAS A MIRAGE
4,4,DR2/FRAM1/SA2.WAV,sample5.WAV,sample5,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
5,5,DR2/FRAM1/SI522.WAV,sample6.WAV,sample6,SI522,PROGRESS IS BEING MADE TOO IN IMPROVING MOTORISTS' ACCESS TO MANY TURNPIKES
6,6,DR2/FRAM1/SA1.WAV,sample7.WAV,sample7,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
7,7,DR2/FRAM1/SX10.WAV,sample8.WAV,sample8,SX10,ARE YOUR GRADES HIGHER OR LOWER THAN NANCY'S
8,8,DR2/FRAM1/SX370.WAV,sample9.WAV,sample9,SX370,THAT NOISE PROBLEM GROWS MORE ANNOYING EACH DAY
9,9,DR2/FRAM1/SI730.WAV,sample10.WAV,sample10,SI730,ANOTHER MEMO FOR SIGHTSEERS BRING YOUR CAMERA ALONG TO MUSEUMS
10,10,DR2/MBJK0/SI1175.WAV,sample11.WAV,sample11,SI1175,DIVERSITY OF PERCEPTION YES DIVERSITY OF FACT YES
11,11,DR2/MBJK0/SX275.WAV,sample12.WAV,sample12,SX275,STEVE WORE A BRIGHT RED CASHMERE SWEATER
12,12,DR2/MBJK0/SX185.WAV,sample13.WAV,sample13,SX185,DID YOU BUY ANY CORDUROY OVERALLS
13,13,DR2/MBJK0/SX5.WAV,sample14.WAV,sample14,SX5,SHE IS THINNER THAN I AM
14,14,DR2/MBJK0/SI2128.WAV,sample15.WAV,sample15,SI2128,SOME OF THEM IGNORED THE TEXTS AND HAD APPARENTLY MEMORIZED THE WORDS LONG AGO
15,15,DR2/MBJK0/SA2.WAV,sample16.WAV,sample16,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
16,16,DR2/MBJK0/SI545.WAV,sample17.WAV,sample17,SI545,BUT HOW LITTLE LOVE WE GIVE HIM
17,17,DR2/MBJK0/SA1.WAV,sample18.WAV,sample18,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
18,18,DR2/MBJK0/SX95.WAV,sample19.WAV,sample19,SX95,IGUANAS AND ALLIGATORS ARE TROPICAL REPTILES
19,19,DR2/MBJK0/SX365.WAV,sample20.WAV,sample20,SX365,THE GUNMAN KEPT HIS VICTIM CORNERED AT GUNPOINT FOR THREE HOURS
