,originalfile,renamedfile,samplenumber,prompt
0,DR2/MRJM0/SX328.WAV,sample1.WAV,sample1,SX328
1,DR2/MRJM0/SI1228.WAV,sample2.WAV,sample2,SI1228
2,DR2/MRJM0/SA2.WAV,sample3.WAV,sample3,SA2
3,DR2/MRJM0/SA1.WAV,sample4.WAV,sample4,SA1
4,DR2/MRJM0/SX148.WAV,sample5.WAV,sample5,SX148
5,DR2/MRJM0/SX238.WAV,sample6.WAV,sample6,SX238
6,DR2/MRJM0/SX58.WAV,sample7.WAV,sample7,SX58
7,DR2/MRJM0/SX418.WAV,sample8.WAV,sample8,SX418
8,DR2/MRJM0/SI1858.WAV,sample9.WAV,sample9,SI1858
9,DR2/MRJM0/SI1095.WAV,sample10.WAV,sample10,SI1095
10,DR2/MMAG0/SX406.WAV,sample11.WAV,sample11,SX406
11,DR2/MMAG0/SI1126.WAV,sample12.WAV,sample12,SI1126
12,DR2/MMAG0/SI1756.WAV,sample13.WAV,sample13,SI1756
13,DR2/MMAG0/SX226.WAV,sample14.WAV,sample14,SX226
14,DR2/MMAG0/SX46.WAV,sample15.WAV,sample15,SX46
15,DR2/MMAG0/SA2.WAV,sample16.WAV,sample16,SA2
16,DR2/MMAG0/SX136.WAV,sample17.WAV,sample17,SX136
17,DR2/MMAG0/SA1.WAV,sample18.WAV,sample18,SA1
18,DR2/MMAG0/SX316.WAV,sample19.WAV,sample19,SX316
19,DR2/MMAG0/SI496.WAV,sample20.WAV,sample20,SI496
20,DR2/MTJG0/SX440.WAV,sample21.WAV,sample21,SX440
21,DR2/MTJG0/SI890.WAV,sample22.WAV,sample22,SI890
22,DR2/MTJG0/SX170.WAV,sample23.WAV,sample23,SX170
23,DR2/MTJG0/SI2157.WAV,sample24.WAV,sample24,SI2157
24,DR2/MTJG0/SA2.WAV,sample25.WAV,sample25,SA2
25,DR2/MTJG0/SX260.WAV,sample26.WAV,sample26,SX260
26,DR2/MTJG0/SA1.WAV,sample27.WAV,sample27,SA1
27,DR2/MTJG0/SX350.WAV,sample28.WAV,sample28,SX350
28,DR2/MTJG0/SI1520.WAV,sample29.WAV,sample29,SI1520
29,DR2/MTJG0/SX80.WAV,sample30.WAV,sample30,SX80
30,DR2/MKJO0/SI2147.WAV,sample31.WAV,sample31,SI2147
31,DR2/MKJO0/SI1517.WAV,sample32.WAV,sample32,SI1517
32,DR2/MKJO0/SI887.WAV,sample33.WAV,sample33,SI887
33,DR2/MKJO0/SA2.WAV,sample34.WAV,sample34,SA2
34,DR2/MKJO0/SX437.WAV,sample35.WAV,sample35,SX437
35,DR2/MKJO0/SA1.WAV,sample36.WAV,sample36,SA1
36,DR2/MKJO0/SX167.WAV,sample37.WAV,sample37,SX167
37,DR2/MKJO0/SX257.WAV,sample38.WAV,sample38,SX257
38,DR2/MKJO0/SX424.WAV,sample39.WAV,sample39,SX424
39,DR2/MKJO0/SX77.WAV,sample40.WAV,sample40,SX77
40,DR2/MJMD0/SI1028.WAV,sample41.WAV,sample41,SI1028
41,DR2/MJMD0/SI1658.WAV,sample42.WAV,sample42,SI1658
42,DR2/MJMD0/SI2288.WAV,sample43.WAV,sample43,SI2288
43,DR2/MJMD0/SX128.WAV,sample44.WAV,sample44,SX128
44,DR2/MJMD0/SX308.WAV,sample45.WAV,sample45,SX308
45,DR2/MJMD0/SX398.WAV,sample46.WAV,sample46,SX398
46,DR2/MJMD0/SA2.WAV,sample47.WAV,sample47,SA2
47,DR2/MJMD0/SA1.WAV,sample48.WAV,sample48,SA1
48,DR2/MJMD0/SX38.WAV,sample49.WAV,sample49,SX38
49,DR2/MJMD0/SX218.WAV,sample50.WAV,sample50,SX218
50,DR2/MRMS0/SX390.WAV,sample51.WAV,sample51,SX390
51,DR2/MRMS0/SX210.WAV,sample52.WAV,sample52,SX210
52,DR2/MRMS0/SX120.WAV,sample53.WAV,sample53,SX120
53,DR2/MRMS0/SI2100.WAV,sample54.WAV,sample54,SI2100
